Date,Open,High,Low,Close,Volume
2022.01.02T22:00,16419.7,16526.0,16310.6,16512.8,209249
2022.01.03T22:00,16516.0,16579.2,16155.8,16276.6,255990
2022.01.04T22:00,16278.4,16283.4,15768.0,15768.6,396027
2022.01.05T22:00,15779.4,15910.6,15614.2,15808.3,629752
2022.01.06T22:00,15826.0,15867.8,15525.2,15586.6,449885
2022.01.09T22:00,15605.3,15683.6,15167.6,15631.6,559798
2022.01.10T22:00,15638.0,15853.6,15490.2,15840.0,502317
2022.01.11T22:00,15841.7,16024.2,15777.4,15911.4,377613
2022.01.12T22:00,15909.8,15994.0,15473.4,15515.6,417687
2022.01.13T22:00,15524.2,15634.7,15327.6,15633.0,648093
2022.01.16T22:00,15656.9,15661.0,15522.6,15572.9,187224
2022.01.17T22:00,15598.4,15617.6,15185.8,15254.8,634822
2022.01.18T22:00,15259.8,15386.4,15026.6,15049.8,697868
2022.01.19T22:00,15057.8,15355.0,14661.8,14736.8,645058
2022.01.20T22:00,14741.0,14873.0,14423.5,14426.6,1444876
2022.01.23T22:00,14420.0,14595.0,13721.2,14532.6,1595942
2022.01.24T22:00,14501.3,14514.2,13905.5,13937.9,1640137
2022.01.25T22:00,13976.5,14654.8,13974.8,14167.0,1396706
2022.01.26T22:00,14224.9,14424.0,13860.7,14125.6,1701983
2022.01.27T22:00,14190.0,14455.2,13844.8,14444.2,1475367
2022.01.30T22:00,14473.9,14928.2,14367.0,14880.8,739869
2022.01.31T22:00,14878.9,15150.0,14742.6,15130.0,754040
2022.02.01T22:00,15136.8,15273.2,14840.2,14875.1,794406
2022.02.02T22:00,14853.0,14882.6,14469.6,14814.8,739252
2022.02.03T22:00,14775.0,14834.4,14372.4,14651.8,924919
2022.02.06T22:00,14684.4,14814.6,14520.2,14609.6,718343
2022.02.07T22:00,14609.6,14784.4,14476.8,14754.4,542423
2022.02.08T22:00,14759.1,15075.8,14749.8,15061.4,311207
2022.02.09T22:00,15063.7,15064.2,14628.6,14702.2,874265
2022.02.10T22:00,14703.0,14772.8,14187.6,14263.6,1052617
2022.02.13T22:00,14251.2,14398.6,14035.5,14263.6,1255197
2022.07.20,21:00,12417.6,12630.0,12349.0,12547.8,167447
2022.07.21,21:00,12534.8,12673.4,12319.0,12401.4,140461
2022.07.24,21:00,12402.6,12473.4,12242.0,12300.4,141090
2022.07.25,21:00,12286.4,12308.4,12047.6,12171.4,123942
2022.07.26,21:00,12173.5,12664.8,12170.4,12556.0,125907
2022.07.27,21:00,12557.4,12927.6,12424.2,12902.4,140196
2022.07.28,21:00,12879.2,12987.2,12723.2,12954.8,125591
2022.07.31,21:00,12961.0,13086.4,12830.6,12960.0,122617
2022.08.01,21:00,12946.7,13075.6,12795.2,12898.4,146631
2022.08.02,21:00,12907.0,13289.6,12846.2,13228.8,117267
2022.08.03,21:00,13222.6,13333.6,13163.0,13305.8,120810
2022.08.04,21:00,13302.2,13360.0,13061.4,13192.4,120601
2022.08.07,21:00,13221.6,13395.0,13096.6,13189.0,129577
2022.08.08,21:00,13179.2,13208.8,12945.6,13038.2,122104
2022.08.09,21:00,13032.7,13389.4,12964.4,13362.2,119887
2022.08.10,21:00,13357.2,13555.0,13266.0,13326.8,118296
2022.08.11,21:00,13323.3,13561.6,13291.8,13559.2,103480
2022.08.14,21:00,13544.6,13688.0,13475.0,13660.2,88186
2022.08.15,21:00,13655.6,13722.6,13505.2,13645.4,100138
2022.08.16,21:00,13633.6,13649.8,13384.8,13488.8,130475
2022.08.17,21:00,13474.0,13555.2,13388.4,13518.6,111467
2022.08.18,21:00,13512.8,13513.6,13209.2,13231.6,104065
2022.08.21,21:00,13187.9,13202.0,12855.6,12913.6,109197
2022.08.22,21:00,12916.0,12998.2,12803.8,12868.4,129330
2022.08.23,21:00,12869.4,12992.8,12805.8,12940.2,111801
2022.08.24,21:00,12927.6,13147.8,12909.4,13131.0,104504
2022.08.25,21:00,13144.8,13205.6,12544.6,12547.4,145809
2022.08.28,21:00,12547.0,12595.4,12388.6,12491.2,155858
2022.08.29,21:00,12490.7,12643.6,12233.6,12345.9,152892
2022.08.30,21:00,12352.5,12497.0,12266.6,12296.6,182631
2022.08.31,21:00,12274.0,12287.6,12007.0,12279.2,162620
2022.09.01,21:00,12286.0,12449.8,12029.0,12119.2,162574
2022.09.04,21:00,12097.0,12155.4,12043.4,12125.1,86464
2022.09.05,21:00,12122.5,12232.4,11918.6,12012.8,179623
2022.09.06,21:00,12006.2,12297.6,11914.8,12255.2,152276
2022.09.07,21:00,12269.0,12370.6,12109.2,12340.6,166180
2022.09.08,21:00,12338.8,12607.6,12323.8,12584.0,83861
2022.09.11,21:00,12634.8,12767.6,12567.6,12765.8,106885
2022.09.12,21:00,12766.5,12877.2,11997.4,12041.9,128439
2022.09.13,21:00,12043.0,12166.6,11994.8,12164.0,166316
2022.09.14,21:00,12156.9,12182.0,11852.8,11888.4,149129
2022.09.15,21:00,11862.2,11879.4,11693.4,11877.3,150711
2022.09.18,21:00,11833.6,11988.0,11714.2,11968.6,126992
2022.09.19,21:00,11969.5,12014.2,11750.4,11870.2,106854
2022.09.20,21:00,11864.2,12065.4,11574.8,11593.2,158127
2022.09.21,21:00,11592.2,11722.8,11437.2,11492.8,197019
2022.09.22,21:00,11503.4,11527.0,11156.4,11314.6,174106
2022.09.25,21:00,11305.4,11464.6,11183.8,11240.8,220346
2022.09.26,21:00,11240.8,11494.2,11160.8,11289.8,187248
2022.09.27,21:00,11295.6,11551.4,11077.0,11479.0,236213
2022.09.28,21:00,11484.2,11503.4,11030.8,11171.4,204423
2022.09.29,21:00,11162.8,11295.6,10965.8,10998.8,220285
2022.10.02,21:00,10954.6,11304.0,10831.2,11255.8,185509
2022.10.03,21:00,11258.2,11617.2,11226.2,11584.8,156675
2022.10.04,21:00,11578.2,11650.2,11308.8,11569.0,158851
2022.10.05,21:00,11566.2,11669.0,11448.2,11449.0,175616
2022.10.06,21:00,11430.0,11505.9,10985.2,11038.6,167611
2022.10.09,21:00,10998.5,11076.0,10819.2,10936.8,163798
2022.10.10,21:00,10931.2,10981.2,10710.2,10822.2,203341
2022.10.11,21:00,10813.5,10917.8,10747.8,10795.2,195056
2022.10.12,21:00,10805.6,11084.6,10427.0,11007.8,216740
2022.10.13,21:00,11013.4,11195.2,10668.8,10688.6,224794
2022.10.16,21:00,10678.0,11092.0,10674.8,11081.2,159462
2022.10.17,21:00,11127.2,11378.2,11028.8,11272.2,195923
2022.10.18,21:00,11277.0,11329.2,11005.5,11106.4,192533
2022.10.19,21:00,11091.8,11283.4,10963.4,11014.6,203519
2022.10.20,21:00,11009.6,11341.0,10892.8,11333.2,201904
2022.10.23,21:00,11358.2,11485.6,11163.4,11415.4,231492
2022.10.24,21:00,11414.4,11686.8,11385.8,11541.2,161714
2022.10.25,21:00,11472.0,11657.8,11370.2,11430.4,174781
2022.10.26,21:00,11378.3,11491.8,10880.9,11050.4,201867
2022.10.27,21:00,11089.0,11578.4,11015.4,11578.2,166932
2022.10.30,21:00,11539.8,11541.6,11320.8,11413.2,133520
2022.10.31,21:00,11415.4,11576.8,11251.2,11283.6,137649
2022.11.01,21:00,11287.0,11421.2,10871.0,10904.6,159076
2022.11.02,21:00,10893.6,10958.0,10671.2,10695.4,143721
2022.11.03,21:00,10675.8,10935.8,10600.0,10841.4,181368
2022.11.06,22:00,10749.6,11008.0,10749.6,10984.4,153663
2022.11.07,22:00,10984.8,11200.6,10898.6,11058.0,112515
2022.11.08,22:00,11062.2,11131.8,10790.0,10810.4,163705
2022.11.09,22:00,10815.8,11644.6,10770.5,11644.6,155253
2022.11.10,22:00,11634.6,11844.0,11537.4,11803.4,168919
2022.11.13,22:00,11752.0,11864.8,11668.4,11735.2,130255
